platform,product_id,title,category,brand,price,currency,date,views_7,likes_7,comments_7,shares_7,sales_rank_7,reviews,rating,growth_7,growth_30,url
etsy,etsy_0152,Fashion Product 152 for etsy,Fashion,NoBrand,31.08,USD,2025-08-21,,,,,49689.0,1625.0,4.86,0.154,0.325,https://example.com/etsy/152
etsy,etsy_0153,Fashion Product 153 for etsy,Fashion,BrandC,52.46,USD,2025-08-21,,,,,36369.0,6783.0,3.6,0.324,-0.046,https://example.com/etsy/153
tiktok,tiktok_0154,Beauty Product 154 for tiktok,Beauty,BrandC,17.11,USD,2025-08-21,1388246.0,20456.0,6025.0,5310.0,,,,0.18,0.745,https://example.com/tiktok/154
tiktok,tiktok_0155,Fashion Product 155 for tiktok,Fashion,BrandC,45.83,USD,2025-08-21,1724331.0,147813.0,5638.0,3150.0,,,,-0.115,1.43,https://example.com/tiktok/155
tiktok,tiktok_0156,Beauty Product 156 for tiktok,Beauty,NoBrand,15.37,USD,2025-08-21,324997.0,97231.0,5232.0,1754.0,,,,-0.105,0.239,https://example.com/tiktok/156
amazon,amazon_0157,Gadgets Product 157 for amazon,Gadgets,BrandC,25.53,USD,2025-08-21,,,,,41950.0,2262.0,3.97,0.88,0.329,https://example.com/amazon/157
amazon,amazon_0158,Fashion Product 158 for amazon,Fashion,BrandA,35.5,USD,2025-08-21,,,,,27953.0,4524.0,3.88,0.939,0.757,https://example.com/amazon/158
amazon,amazon_0159,Fashion Product 159 for amazon,Fashion,BrandB,24.52,USD,2025-08-21,,,,,38259.0,7342.0,4.15,0.455,0.566,https://example.com/amazon/159
amazon,amazon_0160,Beauty Product 160 for amazon,Beauty,NoBrand,37.31,USD,2025-08-21,,,,,25523.0,4926.0,3.39,0.135,-0.164,https://example.com/amazon/160
tiktok,tiktok_0161,Fashion Product 161 for tiktok,Fashion,BrandB,53.45,USD,2025-08-21,1423897.0,131526.0,6355.0,3481.0,,,,0.881,1.462,https://example.com/tiktok/161
amazon,amazon_0162,Kitchen Product 162 for amazon,Kitchen,BrandA,58.91,USD,2025-08-21,,,,,85383.0,7516.0,3.93,0.483,0.157,https://example.com/amazon/162
etsy,etsy_0163,Pet Product 163 for etsy,Pet,BrandC,18.36,USD,2025-08-21,,,,,63231.0,327.0,3.39,0.88,0.021,https://example.com/etsy/163
etsy,etsy_0164,Beauty Product 164 for etsy,Beauty,BrandC,47.12,USD,2025-08-21,,,,,79112.0,7585.0,4.65,1.182,0.786,https://example.com/etsy/164
etsy,etsy_0165,Pet Product 165 for etsy,Pet,NoBrand,56.83,USD,2025-08-21,,,,,12176.0,4547.0,4.9,-0.174,0.432,https://example.com/etsy/165
amazon,amazon_0166,Kitchen Product 166 for amazon,Kitchen,BrandC,26.41,USD,2025-08-21,,,,,47058.0,6150.0,4.34,0.777,1.227,https://example.com/amazon/166
etsy,etsy_0167,Home Product 167 for etsy,Home,BrandB,13.73,USD,2025-08-21,,,,,41875.0,5667.0,4.36,0.726,1.339,https://example.com/etsy/167
amazon,amazon_0168,Gadgets Product 168 for amazon,Gadgets,NoBrand,45.36,USD,2025-08-21,,,,,85515.0,4841.0,4.69,0.181,-0.238,https://example.com/amazon/168
etsy,etsy_0169,Gadgets Product 169 for etsy,Gadgets,BrandB,58.33,USD,2025-08-21,,,,,33573.0,5029.0,4.59,0.18,1.25,https://example.com/etsy/169
etsy,etsy_0170,Fashion Product 170 for etsy,Fashion,BrandC,19.83,USD,2025-08-21,,,,,17772.0,5399.0,3.41,0.505,1.474,https://example.com/etsy/170
amazon,amazon_0171,Fashion Product 171 for amazon,Fashion,BrandA,35.68,USD,2025-08-21,,,,,37600.0,2768.0,4.07,0.42,1.035,https://example.com/amazon/171
amazon,amazon_0172,Pet Product 172 for amazon,Pet,BrandB,50.03,USD,2025-08-21,,,,,99609.0,3430.0,3.59,0.632,0.459,https://example.com/amazon/172
amazon,amazon_0173,Fashion Product 173 for amazon,Fashion,BrandC,14.33,USD,2025-08-21,,,,,76909.0,2657.0,3.69,-0.371,1.346,https://example.com/amazon/173
amazon,amazon_0174,Kitchen Product 174 for amazon,Kitchen,NoBrand,13.42,USD,2025-08-21,,,,,38244.0,40.0,3.69,0.487,0.873,https://example.com/amazon/174
etsy,etsy_0175,Home Product 175 for etsy,Home,NoBrand,58.27,USD,2025-08-21,,,,,1623.0,7796.0,3.22,-0.181,1.32,https://example.com/etsy/175
etsy,etsy_0176,Home Product 176 for etsy,Home,BrandA,61.06,USD,2025-08-21,,,,,4264.0,609.0,4.28,0.664,0.016,https://example.com/etsy/176
amazon,amazon_0177,Fashion Product 177 for amazon,Fashion,BrandC,63.61,USD,2025-08-21,,,,,35738.0,3028.0,3.89,0.43,-0.215,https://example.com/amazon/177
tiktok,tiktok_0178,Home Product 178 for tiktok,Home,BrandC,16.48,USD,2025-08-21,1043578.0,21672.0,5540.0,4919.0,,,,-0.291,1.207,https://example.com/tiktok/178
tiktok,tiktok_0179,Home Product 179 for tiktok,Home,BrandB,33.54,USD,2025-08-21,1280896.0,11546.0,9492.0,1363.0,,,,0.362,0.895,https://example.com/tiktok/179
tiktok,tiktok_0180,Beauty Product 180 for tiktok,Beauty,BrandB,65.02,USD,2025-08-21,655188.0,59629.0,7765.0,780.0,,,,0.02,0.771,https://example.com/tiktok/180
amazon,amazon_0181,Fashion Product 181 for amazon,Fashion,BrandA,9.24,USD,2025-08-21,,,,,24059.0,4460.0,3.48,0.597,0.554,https://example.com/amazon/181
amazon,amazon_0182,Kitchen Product 182 for amazon,Kitchen,BrandB,27.7,USD,2025-08-21,,,,,35112.0,5136.0,3.94,0.728,0.777,https://example.com/amazon/182
etsy,etsy_0183,Gadgets Product 183 for etsy,Gadgets,NoBrand,34.96,USD,2025-08-21,,,,,24355.0,4226.0,3.34,-0.396,1.442,https://example.com/etsy/183
amazon,amazon_0184,Kitchen Product 184 for amazon,Kitchen,BrandB,6.33,USD,2025-08-21,,,,,23052.0,2322.0,3.77,0.892,1.432,https://example.com/amazon/184
tiktok,tiktok_0185,Gadgets Product 185 for tiktok,Gadgets,BrandA,55.77,USD,2025-08-21,570696.0,94506.0,8032.0,4137.0,,,,0.467,1.271,https://example.com/tiktok/185
tiktok,tiktok_0186,Kitchen Product 186 for tiktok,Kitchen,BrandB,52.13,USD,2025-08-21,1765796.0,11844.0,1800.0,5634.0,,,,0.708,1.229,https://example.com/tiktok/186
tiktok,tiktok_0187,Gadgets Product 187 for tiktok,Gadgets,NoBrand,21.73,USD,2025-08-21,727912.0,77954.0,4043.0,518.0,,,,1.11,-0.229,https://example.com/tiktok/187
tiktok,tiktok_0188,Fashion Product 188 for tiktok,Fashion,BrandB,50.45,USD,2025-08-21,1915350.0,107396.0,5963.0,3187.0,,,,1.065,-0.239,https://example.com/tiktok/188
tiktok,tiktok_0189,Kitchen Product 189 for tiktok,Kitchen,BrandB,49.94,USD,2025-08-21,938626.0,81059.0,8057.0,1551.0,,,,0.275,1.132,https://example.com/tiktok/189
amazon,amazon_0190,Gadgets Product 190 for amazon,Gadgets,BrandC,52.94,USD,2025-08-21,,,,,51572.0,934.0,4.02,0.436,0.86,https://example.com/amazon/190
amazon,amazon_0191,Fashion Product 191 for amazon,Fashion,NoBrand,46.96,USD,2025-08-21,,,,,52376.0,7138.0,4.21,0.37,1.293,https://example.com/amazon/191
etsy,etsy_0192,Kitchen Product 192 for etsy,Kitchen,BrandB,39.41,USD,2025-08-21,,,,,97242.0,4278.0,3.93,0.516,1.147,https://example.com/etsy/192
etsy,etsy_0193,Kitchen Product 193 for etsy,Kitchen,NoBrand,39.92,USD,2025-08-21,,,,,15318.0,920.0,4.53,0.432,0.468,https://example.com/etsy/193
amazon,amazon_0194,Home Product 194 for amazon,Home,BrandC,61.23,USD,2025-08-21,,,,,74039.0,738.0,4.77,-0.366,1.274,https://example.com/amazon/194
etsy,etsy_0195,Kitchen Product 195 for etsy,Kitchen,BrandB,39.32,USD,2025-08-21,,,,,48544.0,5727.0,4.64,1.197,0.331,https://example.com/etsy/195
amazon,amazon_0196,Kitchen Product 196 for amazon,Kitchen,BrandA,54.33,USD,2025-08-21,,,,,61917.0,4413.0,4.06,0.604,1.273,https://example.com/amazon/196
etsy,etsy_0197,Pet Product 197 for etsy,Pet,BrandB,68.0,USD,2025-08-21,,,,,50073.0,3430.0,4.14,0.772,-0.294,https://example.com/etsy/197
amazon,amazon_0198,Pet Product 198 for amazon,Pet,BrandC,35.44,USD,2025-08-21,,,,,24952.0,7837.0,4.74,0.745,0.76,https://example.com/amazon/198
etsy,etsy_0199,Beauty Product 199 for etsy,Beauty,BrandB,23.47,USD,2025-08-21,,,,,90094.0,6094.0,3.97,0.215,0.923,https://example.com/etsy/199
